iter	Passed	Remaining
406	6403	3036
407	6418	3020
408	6434	3005
409	6450	2989
410	6465	2973
411	6480	2957
412	6495	2941
413	6511	2925
414	6528	2910
415	6543	2894
416	6559	2878
417	6574	2862
418	6591	2847
419	6606	2831
420	6622	2815
421	6637	2799
422	6653	2784
423	6668	2768
424	6684	2752
425	6700	2736
426	6716	2721
427	6732	2705
428	6748	2689
429	6763	2674
430	6780	2658
431	6796	2642
432	6811	2627
433	6827	2611
434	6843	2595
435	6866	2582
436	6884	2567
437	6901	2552
438	6917	2536
439	6933	2521
440	6949	2505
441	6966	2490
442	6981	2474
443	6997	2458
444	7012	2442
445	7028	2426
446	7044	2411
447	7059	2395
448	7075	2379
449	7092	2364
450	7107	2348
451	7123	2332
452	7138	2316
453	7154	2300
454	7169	2284
455	7184	2268
456	7199	2252
457	7215	2237
458	7231	2221
459	7247	2205
460	7262	2189
461	7278	2174
462	7295	2158
463	7311	2143
464	7326	2127
465	7342	2111
466	7358	2095
467	7374	2080
468	7390	2064
469	7405	2048
470	7422	2032
471	7437	2016
472	7452	2000
473	7467	1985
474	7483	1969
475	7499	1953
476	7514	1937
477	7530	1921
478	7545	1906
479	7560	1890
480	7576	1874
481	7591	1858
482	7607	1842
483	7624	1827
484	7639	1811
485	7655	1795
486	7671	1780
487	7686	1764
488	7701	1748
489	7717	1732
490	7733	1716
491	7749	1701
492	7765	1685
493	7782	1669
494	7799	1654
495	7815	1638
496	7831	1622
497	7847	1607
498	7864	1591
499	7880	1576
500	7895	1560
501	7911	1544
502	7928	1529
503	7944	1513
504	7959	1497
505	7974	1481
506	7991	1465
507	8006	1450
508	8022	1434
509	8037	1418
510	8053	1402
511	8068	1386
512	8084	1371
513	8099	1355
514	8115	1339
515	8131	1323
516	8146	1307
517	8162	1292
518	8178	1276
519	8195	1260
520	8210	1244
521	8226	1229
522	8243	1213
523	8258	1197
524	8273	1181
525	8289	1166
526	8305	1150
527	8320	1134
528	8335	1118
529	8350	1102
530	8367	1087
531	8383	1071
532	8398	1055
533	8413	1039
534	8429	1024
535	8445	1008
536	8460	992
537	8475	976
538	8491	961
539	8507	945
540	8523	929
541	8538	913
542	8554	897
543	8569	882
544	8584	866
545	8600	850
546	8617	834
547	8633	819
548	8648	803
549	8664	787
550	8681	772
551	8697	756
552	8713	740
553	8728	724
554	8745	709
555	8761	693
556	8776	677
557	8792	661
558	8808	646
